who,overlap,years,color
A4NH,Non-CGIAR,1,#333333
A4NH,IFPRI,1,#333333
AfricaRice,Non-CGIAR,141,#333333
AfricaRice,AfricaRice,18,#333333
AfricaRice,IWMI,3,#333333
AfricaRice,IITA,11,#333333
AfricaRice,CIP,1,#333333
AfricaRice,IRRI,23,#333333
AfricaRice,Bioversity International,1,#333333
AfricaRice,CIAT,5,#333333
AfricaRice,ICARDA,1,#333333
AfricaRice,CIMMYT,1,#333333
AfricaRice,ILRI,1,#333333
AfricaRice,ICRISAT,1,#333333
AfricaRice,ISPC,1,#333333
Bioversity International,CIMMYT,3,#333333
Bioversity International,IRRI,2,#333333
Bioversity International,Non-CGIAR,38,#333333
Bioversity International,ILRI,3,#333333
Bioversity International,IITA,12,#333333
Bioversity International,ICRAF,5,#333333
Bioversity International,ICARDA,4,#333333
Bioversity International,AfricaRice,1,#333333
Bioversity International,CCAFS,1,#333333
Bioversity International,CIAT,3,#333333
Bioversity International,CIFOR,2,#333333
Bioversity International,Bioversity International,2,#333333
Bioversity International,CIP,2,#333333
Bioversity International,WorldFish,1,#333333
Bioversity International,IFPRI,1,#333333
Bioversity International,CGIAR Fellowship,1,#333333
CCAFS,CIAT,10,#333333
CCAFS,Non-CGIAR,47,#333333
CCAFS,CIFOR,2,#333333
CCAFS,ICRAF,6,#333333
CCAFS,ICRISAT,2,#333333
CCAFS,ILRI,7,#333333
CCAFS,IFPRI,2,#333333
CCAFS,IWMI,3,#333333
CCAFS,Bioversity International,1,#333333
CCAFS,CIMMYT,1,#333333
CGIAR,CGIAR,1,#333333
CGIAR,Non-CGIAR,1,#333333
CGIAR Fellowship,Bioversity International,1,#333333
CGIAR Fellowship,Non-CGIAR,1,#333333
CGIAR Fellowship,IRRI,1,#333333
CIAT,CIMMYT,24,#333333
CIAT,CCAFS,10,#333333
CIAT,Non-CGIAR,405,#333333
CIAT,IITA,17,#333333
CIAT,CIAT,18,#333333
CIAT,IFPRI,20,#333333
CIAT,ILRI,16,#333333
CIAT,CIP,4,#333333
CIAT,ICRAF,11,#333333
CIAT,CIFOR,1,#333333
CIAT,ICRISAT,11,#333333
CIAT,CP,1,#333333
CIAT,CPWF,1,#333333
CIAT,IWMI,7,#333333
CIAT,AfricaRice,5,#333333
CIAT,ICARDA,5,#333333
CIAT,Bioversity International,3,#333333
CIAT,IRRI,8,#333333
CIAT,RTB,1,#333333
CIAT,SLP,1,#333333
CIAT,WorldFish,1,#333333
CIFOR,Non-CGIAR,309,#333333
CIFOR,CIFOR,42,#333333
CIFOR,ICRAF,19,#333333
CIFOR,CIAT,1,#333333
CIFOR,CCAFS,2,#333333
CIFOR,IITA,5,#333333
CIFOR,IFPRI,2,#333333
CIFOR,CIMMYT,3,#333333
CIFOR,IWMI,4,#333333
CIFOR,ILRI,8,#333333
CIFOR,CIP,3,#333333
CIFOR,Bioversity International,2,#333333
CIFOR,ICRISAT,1,#333333
CIFOR,ICARDA,3,#333333
CIFOR,WorldFish,1,#333333
CIMMYT,Non-CGIAR,865,#333333
CIMMYT,CIAT,24,#333333
CIMMYT,Bioversity International,3,#333333
CIMMYT,IRRI,23,#333333
CIMMYT,IITA,17,#333333
CIMMYT,ICARDA,40,#333333
CIMMYT,ILRI,16,#333333
CIMMYT,CIMMYT,74,#333333
CIMMYT,ICRISAT,52,#333333
CIMMYT,IFPRI,9,#333333
CIMMYT,CIP,2,#333333
CIMMYT,ICRAF,2,#333333
CIMMYT,CIFOR,3,#333333
CIMMYT,IWMI,7,#333333
CIMMYT,AfricaRice,1,#333333
CIMMYT,SLP,1,#333333
CIMMYT,CCAFS,1,#333333
CIP,Non-CGIAR,199,#333333
CIP,CIP,27,#333333
CIP,ICRISAT,3,#333333
CIP,ICRAF,7,#333333
CIP,ICARDA,1,#333333
CIP,IWMI,1,#333333
CIP,CIAT,4,#333333
CIP,IRRI,4,#333333
CIP,IITA,8,#333333
CIP,AfricaRice,1,#333333
CIP,CIMMYT,2,#333333
CIP,ILRI,1,#333333
CIP,RTB,2,#333333
CIP,CIFOR,3,#333333
CIP,Bioversity International,2,#333333
CIP,IFPRI,1,#333333
CP,Non-CGIAR,1,#333333
CP,CIAT,1,#333333
CP,CPWF,1,#333333
CPWF,CP,1,#333333
CPWF,Non-CGIAR,5,#333333
CPWF,CIAT,1,#333333
CPWF,ILRI,1,#333333
CPWF,IWMI,3,#333333
Consortium,Non-CGIAR,1,#333333
HarvestPlus,Non-CGIAR,13,#333333
HarvestPlus,HarvestPlus,2,#333333
HarvestPlus,IITA,1,#333333
ICARDA,Non-CGIAR,334,#333333
ICARDA,ICARDA,27,#333333
ICARDA,CIMMYT,40,#333333
ICARDA,IWMI,15,#333333
ICARDA,ICRISAT,5,#333333
ICARDA,ILRI,18,#333333
ICARDA,ICRAF,3,#333333
ICARDA,CIP,1,#333333
ICARDA,Bioversity International,4,#333333
ICARDA,IRRI,4,#333333
ICARDA,AfricaRice,1,#333333
ICARDA,CIAT,5,#333333
ICARDA,IITA,1,#333333
ICARDA,CIFOR,3,#333333
ICRAF,Non-CGIAR,305,#333333
ICRAF,CIFOR,19,#333333
ICRAF,ICRAF,24,#333333
ICRAF,ICRISAT,10,#333333
ICRAF,ICARDA,3,#333333
ICRAF,CIP,7,#333333
ICRAF,IWMI,8,#333333
ICRAF,CIAT,11,#333333
ICRAF,CCAFS,6,#333333
ICRAF,Bioversity International,5,#333333
ICRAF,ILRI,14,#333333
ICRAF,IFPRI,3,#333333
ICRAF,CIMMYT,2,#333333
ICRAF,IITA,3,#333333
ICRAF,IRRI,2,#333333
ICRISAT,Non-CGIAR,157,#333333
ICRISAT,CIMMYT,52,#333333
ICRISAT,ILRI,22,#333333
ICRISAT,ICARDA,5,#333333
ICRISAT,ICRAF,10,#333333
ICRISAT,CIP,3,#333333
ICRISAT,IWMI,14,#333333
ICRISAT,ICRISAT,20,#333333
ICRISAT,IRRI,20,#333333
ICRISAT,CIAT,11,#333333
ICRISAT,IFPRI,6,#333333
ICRISAT,IITA,9,#333333
ICRISAT,CCAFS,2,#333333
ICRISAT,CIFOR,1,#333333
ICRISAT,SLP,1,#333333
ICRISAT,AfricaRice,1,#333333
IEA,Non-CGIAR,1,#333333
IFPRI,CIAT,20,#333333
IFPRI,IFPRI,163,#333333
IFPRI,Non-CGIAR,705,#333333
IFPRI,ILRI,19,#333333
IFPRI,IWMI,10,#333333
IFPRI,ICRISAT,6,#333333
IFPRI,CIFOR,2,#333333
IFPRI,CIMMYT,9,#333333
IFPRI,CCAFS,2,#333333
IFPRI,ICRAF,3,#333333
IFPRI,IITA,7,#333333
IFPRI,WorldFish,2,#333333
IFPRI,A4NH,1,#333333
IFPRI,IRRI,1,#333333
IFPRI,Bioversity International,1,#333333
IFPRI,CIP,1,#333333
IITA,CIAT,17,#333333
IITA,Non-CGIAR,259,#333333
IITA,CIMMYT,17,#333333
IITA,ILRI,9,#333333
IITA,AfricaRice,11,#333333
IITA,IITA,13,#333333
IITA,Bioversity International,12,#333333
IITA,CIFOR,5,#333333
IITA,CIP,8,#333333
IITA,ICRISAT,9,#333333
IITA,IFPRI,7,#333333
IITA,ICRAF,3,#333333
IITA,RTB,1,#333333
IITA,ICARDA,1,#333333
IITA,IWMI,2,#333333
IITA,SLP,1,#333333
IITA,HarvestPlus,1,#333333
IITA,IRRI,1,#333333
ILRI,Non-CGIAR,547,#333333
ILRI,Bioversity International,3,#333333
ILRI,IITA,9,#333333
ILRI,CIMMYT,16,#333333
ILRI,CIAT,16,#333333
ILRI,ICRISAT,22,#333333
ILRI,ICARDA,18,#333333
ILRI,ILRI,30,#333333
ILRI,IFPRI,19,#333333
ILRI,CPWF,1,#333333
ILRI,IWMI,20,#333333
ILRI,CCAFS,7,#333333
ILRI,ICRAF,14,#333333
ILRI,CIFOR,8,#333333
ILRI,CIP,1,#333333
ILRI,AfricaRice,1,#333333
ILRI,IRRI,4,#333333
ILRI,SLP,1,#333333
IRRI,Non-CGIAR,725,#333333
IRRI,CIMMYT,23,#333333
IRRI,Bioversity International,2,#333333
IRRI,IRRI,95,#333333
IRRI,IWMI,5,#333333
IRRI,ICRISAT,20,#333333
IRRI,CIP,4,#333333
IRRI,AfricaRice,23,#333333
IRRI,ICARDA,4,#333333
IRRI,WorldFish,1,#333333
IRRI,CIAT,8,#333333
IRRI,ILRI,4,#333333
IRRI,IFPRI,1,#333333
IRRI,CGIAR Fellowship,1,#333333
IRRI,IITA,1,#333333
IRRI,ISPC,1,#333333
IRRI,ICRAF,2,#333333
ISPC,Non-CGIAR,4,#333333
ISPC,ISPC,1,#333333
ISPC,SPIA,1,#333333
ISPC,IRRI,1,#333333
ISPC,AfricaRice,1,#333333
IWMI,Non-CGIAR,429,#333333
IWMI,IWMI,77,#333333
IWMI,ICARDA,15,#333333
IWMI,ICRISAT,14,#333333
IWMI,ICRAF,8,#333333
IWMI,CIP,1,#333333
IWMI,AfricaRice,3,#333333
IWMI,IRRI,5,#333333
IWMI,CIAT,7,#333333
IWMI,IFPRI,10,#333333
IWMI,ILRI,20,#333333
IWMI,CPWF,3,#333333
IWMI,CCAFS,3,#333333
IWMI,CIFOR,4,#333333
IWMI,CIMMYT,7,#333333
IWMI,IITA,2,#333333
IWMI,WorldFish,1,#333333
Non-CGIAR,IRRI,725,#333333
Non-CGIAR,IWMI,429,#333333
Non-CGIAR,CIP,199,#333333
Non-CGIAR,ILRI,547,#333333
Non-CGIAR,CIMMYT,865,#333333
Non-CGIAR,CIFOR,309,#333333
Non-CGIAR,Bioversity International,38,#333333
Non-CGIAR,ICARDA,334,#333333
Non-CGIAR,CIAT,405,#333333
Non-CGIAR,CCAFS,47,#333333
Non-CGIAR,IITA,259,#333333
Non-CGIAR,ICRISAT,157,#333333
Non-CGIAR,ISPC,4,#333333
Non-CGIAR,IFPRI,705,#333333
Non-CGIAR,ICRAF,305,#333333
Non-CGIAR,WorldFish,83,#333333
Non-CGIAR,AfricaRice,141,#333333
Non-CGIAR,HarvestPlus,13,#333333
Non-CGIAR,CP,1,#333333
Non-CGIAR,CPWF,5,#333333
Non-CGIAR,Consortium,1,#333333
Non-CGIAR,SPIA,2,#333333
Non-CGIAR,RTB,3,#333333
Non-CGIAR,IEA,1,#333333
Non-CGIAR,A4NH,1,#333333
Non-CGIAR,SLP,1,#333333
Non-CGIAR,CGIAR,1,#333333
Non-CGIAR,CGIAR Fellowship,1,#333333
RTB,Non-CGIAR,3,#333333
RTB,CIP,2,#333333
RTB,IITA,1,#333333
RTB,CIAT,1,#333333
RTB,RTB,1,#333333
SLP,Non-CGIAR,1,#333333
SLP,CIAT,1,#333333
SLP,ICRISAT,1,#333333
SLP,CIMMYT,1,#333333
SLP,ILRI,1,#333333
SLP,IITA,1,#333333
SPIA,ISPC,1,#333333
SPIA,Non-CGIAR,2,#333333
WLE,WLE,1,#333333
WorldFish,Non-CGIAR,83,#333333
WorldFish,WorldFish,14,#333333
WorldFish,IRRI,1,#333333
WorldFish,IFPRI,2,#333333
WorldFish,CIFOR,1,#333333
WorldFish,Bioversity International,1,#333333
WorldFish,CIAT,1,#333333
WorldFish,IWMI,1,#333333
